N,backend,mean_s,std_s,min_s,max_s,n_measures

100,python,0.03358832898084074,0.0021971624870038378,0.03138630208559334,0.03695988585241139,4
100,cython,0.00045581627637147903,2.9851961288245917e-05,0.00043591600842773914,0.0005073561333119869,4
100,c,0.0004949315334670246,4.834514145567296e-05,0.000461796997115016,0.0005784421227872372,4
100,cpp,0.0004989692242816091,2.6859112463360823e-05,0.0004661818966269493,0.0005390369333326817,4
200,python,0.07010379253188148,0.006024487972018283,0.06586499512195587,0.08040167507715523,4
200,cython,0.0010882245260290802,7.820235523617395e-05,0.0010124258697032928,0.0012018990237265825,4
200,c,0.0012053247774019837,9.524732128635042e-05,0.0010672600474208593,0.0013285919558256865,4
200,cpp,0.0011480532120913267,8.047489880774214e-05,0.0010781169403344393,0.0012765408027917147,4
500,python,0.17982278630370274,0.008229316893408136,0.16853333706967533,0.19134856504388154,4
500,cython,0.003520656027831137,0.0002446063331301103,0.003163750981912017,0.003854153212159872,4
500,c,0.0037276819930411875,0.0003422978891712675,0.003258469980210066,0.004193088971078396,4
500,cpp,0.0040366227040067315,0.0005299216777245063,0.0033083539456129074,0.004596734885126352,4
800,python,0.2785130539559759,0.010881278989672349,0.26725809392519295,0.29493564483709633,4
800,cython,0.005787063972093165,0.0006571597872481967,0.005335431080311537,0.006922550965100527,4
800,c,0.006585689727216959,0.0005422856196264992,0.00592043180949986,0.007410015910863876,4
800,cpp,0.0070868387701921165,0.0007968827230401494,0.005757414037361741,0.007870625937357545,4
1000,python,0.3470869087614119,0.00963412663015232,0.3344624650198966,0.3590654998552054,4
1000,cython,0.007615766255185008,0.000517332539484318,0.006880020955577493,0.008194981142878532,4
1000,c,0.008150351466611028,0.00042862680080542006,0.007459705928340554,0.00853391201235354,4
1000,cpp,0.008163367805536836,0.00042981995281227435,0.007552989991381764,0.008757500210776925,4
2000,python,0.6948825735016726,0.02717774031228858,0.6624462099280208,0.7362461870070547,4
2000,cython,0.016984303598292172,0.0010683736107440895,0.015606776112690568,0.018604897195473313,4
2000,c,0.016724256158340722,0.000797528763894676,0.01576001988723874,0.017558674793690443,4
2000,cpp,0.01691554975695908,0.00012378971592825764,0.016721105901524425,0.017060992075130343,4
