N,degree,n_edges,mean_time,std_time,min_time,max_time,n_measures
500,10,5000,0.051439675192038216,0.07189484103534181,0.0005550524219870567,0.15311431977897882,3
1000,10,10000,0.0006047924980521202,5.0199794645041275e-05,0.0005586901679635048,0.0006745979189872742,3
5000,10,50000,0.0007044620191057523,0.00011424800198722668,0.0006113108247518539,0.0008653663098812103,3
10000,10,100000,0.0014113135014971097,4.966874043117393e-05,0.001345873810350895,0.0014661401510238647,3
20000,10,200000,0.0018942651028434436,0.0004818898638188476,0.0013519013300538063,0.0025228094309568405,3
30000,10,300000,0.002361277428766092,0.0002957407662473641,0.001959720626473427,0.0026633376255631447,3
40000,10,400000,0.0050780801102519035,0.0005621022562906895,0.004378532059490681,0.0057548293843865395,3
100000,10,1000000,0.007660893102486928,0.001361467983801068,0.005791923031210899,0.008996134623885155,3
300000,10,3000000,0.015807739458978176,0.0010474043226098681,0.014326559379696846,0.01656109280884266,3
1000000,10,10000000,0.04674969365199407,0.0018047543829769089,0.045436750166118145,0.049301644787192345,3
