N,threads,backend,mean_time
10000,1,cython,2.325313339009881
10000,1,c,2.264193544979207
10000,1,cpp,2.2951812270330265
10000,8,cython,2.3049810809316114
10000,8,c,0.28525920305401087
10000,8,cpp,0.4042545920237899
5000,1,cython,1.1377881049411371
5000,1,c,1.1520840740995482
5000,1,cpp,1.1932363889645785
5000,8,cython,1.2244977930095047
5000,8,c,0.14357504399958998
5000,8,cpp,0.15956450393423438
2000,1,cython,0.4381828260375187
2000,1,c,0.4117275190073997
2000,1,cpp,0.47566736803855747
2000,8,cython,0.5183156949933618
2000,8,c,0.07185185805428773
2000,8,cpp,0.06804666190873832
1000,1,cython,0.17835718498099595
1000,1,c,0.16949612589087337
1000,1,cpp,0.16506606002803892
1000,8,cython,0.2706283190054819
1000,8,c,0.05174306302797049
1000,8,cpp,0.06165524199604988
800,1,cython,0.13489682006184012
800,1,c,0.11288324999623
800,1,cpp,0.11667496908921748
800,8,cython,0.20164077496156096
800,8,c,0.0315292599843815
800,8,cpp,0.03385298198554665
500,1,cython,0.08060401503462344
500,1,c,0.07065107300877571
500,1,cpp,0.09649233391974121
500,8,cython,0.1277612199774012
500,8,c,0.03205717506352812
500,8,cpp,0.025066601927392185
150,1,cython,0.03196966799441725
150,1,c,0.03792544093448669
150,1,cpp,0.02846352302003652
150,8,cython,0.04619302600622177
150,8,c,0.02407514804508537
150,8,cpp,0.01980147499125451
500,1,cython,0.9658996250946075
500,1,c,0.5207943510031328
500,1,cpp,0.5337953600101173
500,2,cython,0.981063961982727
500,2,c,0.5022944649681449
500,2,cpp,0.5271417599869892
500,4,cython,0.9672995710279793
500,4,c,0.5034967520041391
500,4,cpp,0.5110869179479778
500,8,cython,0.9710723239695653
500,8,c,0.4985687369480729
500,8,cpp,0.49968518898822367
500,1,cython,1.26771241100505
500,1,c,0.75875881803222
500,1,cpp,0.7624643020099029
500,2,cython,0.9477355779381469
500,2,c,0.5139681639848277
500,2,cpp,0.49253940396010876
500,4,cython,0.9132375430781394
500,4,c,0.541782820946537
500,4,cpp,0.4909877550089732
500,8,cython,0.9095897460356355
500,8,c,0.5213345639640465
500,8,cpp,0.49454224901273847
500,1,cython,0.9560719870496541
500,1,c,0.4987347610294819
500,1,cpp,0.5122290280414745
500,2,cython,0.9588263080222532
500,2,c,0.5245392649667338
500,2,cpp,0.5058997559826821
500,4,cython,0.9586329120211303
500,4,c,0.4969370448961854
500,4,cpp,0.49301206693053246
500,5,cython,0.9567693109856918
500,5,c,0.5049079400487244
500,5,cpp,0.5028421330498531
500,7,cython,1.005416602944024
500,7,c,0.5025444339262322
500,7,cpp,0.5011545730521902
500,1,c,0.526325189974159
500,1,cpp,0.5210622990271077
500,2,c,0.504749143961817
500,2,cpp,0.5136925460537896
500,4,c,0.4978285040706396
500,4,cpp,0.5281412060139701
500,5,c,0.5004847589880228
500,5,cpp,0.5152847990393639
500,7,c,0.5010780489537865
500,7,cpp,0.5252105758991092
1000,5,cython,3.749805295956321
1000,5,c,2.115520970080979
1000,5,cpp,2.1245588189922273
1000,8,cython,3.7843547629890963
1000,8,c,2.1260079810163006
1000,8,cpp,2.135371746029705
