N,threads,backend,time_before,time_after,gain
10000,8,cython,2.325313339009881,2.3049810809316114,1.0088
10000,8,c,2.264193544979207,0.28525920305401087,7.9373
10000,8,cpp,2.2951812270330265,0.4042545920237899,5.6776
5000,8,cython,1.1377881049411371,1.2244977930095047,0.9292
5000,8,c,1.1520840740995482,0.14357504399958998,8.0243
5000,8,cpp,1.1932363889645785,0.15956450393423438,7.4781
2000,8,cython,0.4381828260375187,0.5183156949933618,0.8454
2000,8,c,0.4117275190073997,0.07185185805428773,5.7302
2000,8,cpp,0.47566736803855747,0.06804666190873832,6.9903
1000,8,cython,0.17835718498099595,0.2706283190054819,0.6590
1000,8,c,0.16949612589087337,0.05174306302797049,3.2757
1000,8,cpp,0.16506606002803892,0.06165524199604988,2.6772
800,8,cython,0.13489682006184012,0.20164077496156096,0.6690
800,8,c,0.11288324999623,0.0315292599843815,3.5803
800,8,cpp,0.11667496908921748,0.03385298198554665,3.4465
500,8,cython,0.08060401503462344,0.1277612199774012,0.6309
500,8,c,0.07065107300877571,0.03205717506352812,2.2039
500,8,cpp,0.09649233391974121,0.025066601927392185,3.8494
150,8,cython,0.03196966799441725,0.04619302600622177,0.6921
150,8,c,0.03792544093448669,0.02407514804508537,1.5753
150,8,cpp,0.02846352302003652,0.01980147499125451,1.4374
