N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures

100,cython,8,0.005961503426078707,0.002603322749063559,0.00394858093932271,0.010333434911444783,4
100,c,8,0.0002634327975101769,8.674491243927123e-05,0.0001966760028153658,0.00041253305971622467,4
100,cpp,8,0.0002312044962309301,5.109435331717698e-05,0.00017972802743315697,0.0003037429414689541,4
200,cython,8,0.0044253094820305705,0.00018559341037929883,0.004108150023967028,0.004580260021612048,4
200,c,8,0.0007528052665293217,7.574669786007974e-05,0.0006696919444948435,0.0008313779253512621,4
200,cpp,8,0.000713679997716099,4.67686492009376e-05,0.0006730258464813232,0.0007892991416156292,4
500,cython,8,0.008847232034895569,0.0029264518440841525,0.006458058953285217,0.013699373928830028,4
500,c,8,0.002928181958850473,0.0004966988288199497,0.0020930259488523006,0.0033981099259108305,4
500,cpp,8,0.0026867517735809088,0.0005042194695131304,0.0018762759864330292,0.003198629943653941,4
800,cython,8,0.0127324239583686,0.004513916941174652,0.007689900929108262,0.01923867012374103,4
800,c,8,0.005626129801385105,0.0010754939438160445,0.004315827041864395,0.007240171078592539,4
800,cpp,8,0.006208421080373228,0.0004896159889495324,0.005727249197661877,0.006865882081910968,4
1000,cython,8,0.020871612709015608,0.0014553995412867138,0.01846123393625021,0.022098325891420245,4
1000,c,8,0.011096664238721132,0.0011666017159865814,0.010279068956151605,0.013101506978273392,4
1000,cpp,8,0.011081042524892837,0.0004954532135170572,0.01031386200338602,0.011566914850845933,4
