N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures

100,cython,8,0.005475896003190428,0.0010576427230583215,0.004356771009042859,0.007173412013798952,4
100,c,8,0.0002517752582207322,4.548123917051905e-05,0.0002186859492212534,0.0003299601376056671,4
100,cpp,8,0.0002095139934681356,2.045974860662996e-05,0.0001959369983524084,0.00024481979198753834,4
200,cython,8,0.004906659247353673,0.00016349800426365476,0.0046734928619116545,0.005106764147058129,4
200,c,8,0.0004632782656699419,8.261397103101352e-05,0.0003552730195224285,0.0005447289440780878,4
200,cpp,8,0.00035561120603233576,2.323739269884045e-05,0.00033363886177539825,0.00039043696597218513,4
500,cython,8,0.007613051799125969,0.001444856119943342,0.005725633818656206,0.009777422063052654,4
500,c,8,0.0008822532254271209,0.0002557366391051535,0.0005844759289175272,0.0011753470171242952,4
500,cpp,8,0.0011900578974746168,0.00010059966711580551,0.0010524108074605465,0.0013363298494368792,4
800,cython,8,0.010522656491957605,0.0018164974283110473,0.007832359988242388,0.012420705053955317,4
800,c,8,0.0013960590003989637,0.0003534286633122471,0.0010285289026796818,0.0019135100301355124,4
800,cpp,8,0.0013381532044149935,0.00023548774948712868,0.0009526321664452553,0.0015918968711048365,4
1000,cython,8,0.008880457957275212,0.0024911326837713833,0.006373882060870528,0.012947848066687584,4
1000,c,8,0.0018523855251260102,0.0005357112202329395,0.0012230181600898504,0.0025384819600731134,4
1000,cpp,8,0.0022108072880655527,0.0003171620150250517,0.0017040660604834557,0.002559761982411146,4
2000,cython,8,0.013219601765740663,0.0016830344686694847,0.01152476598508656,0.015972597990185022,4
2000,c,8,0.003488015499897301,0.0003895152632670965,0.0031679850071668625,0.004132752073928714,4
2000,cpp,8,0.0041827314416877925,0.000623547990689005,0.0037474629934877157,0.005252255825325847,4
