N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures

100,cython,8,0.00021655455930158496,1.3964977467114769e-05,0.00020548515021800995,0.0002403471153229475,4
100,c,8,0.00016931048594415188,2.3393566151917808e-05,0.0001536221243441105,0.00020973198115825653,4
100,cpp,8,0.000188704754691571,2.996779850588102e-05,0.00016577308997511864,0.00023897015489637852,4
200,cython,8,0.0003861220320686698,3.974532305580258e-05,0.0003478198777884245,0.0004461752250790596,4
200,c,8,0.00020383024821057916,2.8565228395137294e-05,0.00018584495410323143,0.0002532368525862694,4
200,cpp,8,0.00020468974253162742,2.9614485009842968e-05,0.00018692784942686558,0.00025597214698791504,4
500,cython,8,0.000754105974920094,5.4846847577634444e-05,0.0007038279436528683,0.0008399428334087133,4
500,c,8,0.00028461392503231764,1.925630394620325e-05,0.00026328698731958866,0.0003123609349131584,4
500,cpp,8,0.0002784642856568098,1.7870357226344903e-05,0.00026698620058596134,0.00030937884002923965,4
800,cython,8,0.0012864604941569269,0.0001694880779524497,0.0010858089663088322,0.0015494078397750854,4
800,c,8,0.0003183272201567888,1.822303080355752e-05,0.0003061369061470032,0.0003498210571706295,4
800,cpp,8,0.0003591490676626563,2.9974286267548584e-05,0.00032472400926053524,0.0003903100732713938,4
1000,cython,8,0.0014141867868602276,0.00010305561754514647,0.0012792660854756832,0.0015685399994254112,4
1000,c,8,0.00047256099060177803,0.0001276352049013066,0.0003813598304986954,0.0006915510166436434,4
1000,cpp,8,0.0006403762381523848,0.00011451451021459496,0.00047434098087251186,0.0007956060580909252,4
2000,cython,8,0.002533753518946469,0.0003248023750642313,0.002294986043125391,0.0030870370101183653,4
2000,c,8,0.0009616926545277238,0.0003618485362482048,0.0005950159393250942,0.0014884069096297026,4
2000,cpp,8,0.0009591539856046438,0.00026669562026599135,0.000571106094866991,0.0012918871361762285,4
