N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,cython,1,0.000851662247441709,0.0013449647958213276,6.909295916557312e-05,0.0031811881344765425,4
50,c,1,0.0006075022392906249,0.000944819597509913,5.8312900364398956e-05,0.0022439679596573114,4
50,cpp,1,0.0006137972231954336,0.000950101830557584,6.14288728684187e-05,0.0022594130132347345,4
100,cython,1,0.0001096840132959187,1.0122756017041355e-05,0.00010138005018234253,0.00012682494707405567,4
100,c,1,0.00011195894330739975,7.590308838588051e-06,0.00010586180724203587,0.00012476090341806412,4
100,cpp,1,0.00011036481009796262,6.601527590719221e-06,0.00010477215982973576,0.00012159114703536034,4
200,cython,1,0.00020688178483396769,1.2521779230542922e-05,0.00019315211102366447,0.00022100890055298805,4
200,c,1,0.00021679874043911695,7.96480726406523e-06,0.00020762602798640728,0.00022838381119072437,4
200,cpp,1,0.0002172782551497221,7.072383055257927e-06,0.00020934990607202053,0.000224430114030838,4
500,cython,1,0.0005688644596375525,5.5058239941424104e-05,0.0005217739380896091,0.0006615940947085619,4
500,c,1,0.0006139511824585497,4.772838591051229e-05,0.0005677689332515001,0.0006935559213161469,4
500,cpp,1,0.0005751080461777747,1.6109057948281557e-05,0.0005602410528808832,0.0006015810649842024,4
800,cython,1,0.0009788385359570384,8.468223360009398e-05,0.0009251260198652744,0.0011254209093749523,4
800,c,1,0.0010348697542212903,1.2992065273334677e-05,0.0010226001031696796,0.0010564690455794334,4
800,cpp,1,0.0010512139997445047,5.392496274093568e-05,0.0010027638636529446,0.0011349001433700323,4
1000,cython,1,0.001395830826368183,0.00014435457144991855,0.0012208791449666023,0.001615283079445362,4
1000,c,1,0.0013547965208999813,9.366521756924191e-06,0.001347011886537075,0.0013707040343433619,4
1000,cpp,1,0.0015335752395913005,0.00018471112245135477,0.001351773040369153,0.0018252229783684015,4
2000,cython,1,0.0031233124900609255,0.00017125259502731563,0.0028888718225061893,0.003319998038932681,4
2000,c,1,0.003309318271931261,0.0001508797761437844,0.00315073411911726,0.003557940013706684,4
2000,cpp,1,0.0033404675195924938,0.00016602439864040803,0.003235365031287074,0.0036273568402975798,4
