N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,python,3,0.0012013359810225666,5.4936493783886396e-05,0.0011548129841685295,0.0012913700193166733,4
50,cython,3,0.0008907772717066109,0.0012493212970514788,0.00015006191097199917,0.0030545280314981937,4
50,c,3,0.0007205864530988038,0.0009090012357267381,0.00015324819833040237,0.002294022822752595,4
50,cpp,3,0.0007143922848626971,0.0009938886689907977,0.00013727997429668903,0.002435852074995637,4
100,python,3,0.0013358629657886922,0.00022558793753515622,0.001090619945898652,0.0015641560312360525,4
100,cython,3,0.0003069443046115339,7.752370787161526e-05,0.00025382498279213905,0.00044083409011363983,4
100,c,3,0.0001832407433539629,1.1954309463956093e-05,0.00016331905499100685,0.00019285501912236214,4
100,cpp,3,0.00016433850396424532,1.853346886339828e-05,0.00014089886099100113,0.0001838661264628172,4
200,python,3,0.001834699185565114,0.00041163310760619984,0.0014135160017758608,0.0022733579389750957,4
200,cython,3,0.00033587246434763074,1.8946377038787095e-05,0.0003170240670442581,0.0003631219733506441,4
200,c,3,0.0001809505047276616,1.6895929818054945e-05,0.00016975798644125462,0.00021015899255871773,4
200,cpp,3,0.00017913704505190253,1.7431342915143865e-05,0.00016811490058898926,0.00020928215235471725,4
500,python,3,0.0027677821926772594,0.0003043713488465928,0.0023532079067081213,0.0031921840272843838,4
500,cython,3,0.0006768827443011105,3.6959804577942976e-05,0.0006483700126409531,0.0007401141338050365,4
500,c,3,0.0003036237321794033,5.8074558603499536e-05,0.0002498580142855644,0.00039985193870961666,4
500,cpp,3,0.0002952482318505645,5.674861740681094e-05,0.0002503299620002508,0.00038966210559010506,4
800,python,3,0.0034207639400847256,0.0005933401316887273,0.002765493933111429,0.004014645935967565,4
800,cython,3,0.0011163027375005186,0.00025327076912335587,0.0009463150054216385,0.0015540458261966705,4
800,c,3,0.00035062251845374703,7.261398909822617e-05,0.00027100718580186367,0.0004621869884431362,4
800,cpp,3,0.0003589349798858166,7.2504071129182e-05,0.00030788592994213104,0.0004834651481360197,4
1000,python,3,0.00394880521344021,0.00030515483239519365,0.0036423359997570515,0.004354492062702775,4
1000,cython,3,0.0013348818174563348,0.0002360631299784448,0.0011837431229650974,0.0017428440041840076,4
1000,c,3,0.00048690539551898837,0.00010752305642154675,0.00038356194272637367,0.0006485579069703817,4
1000,cpp,3,0.0005603372701443732,0.0002136675909313364,0.0003584229853004217,0.0009063901379704475,4
2000,python,3,0.007049391744658351,0.0002746947679529506,0.006761875003576279,0.007489674026146531,4
2000,cython,3,0.0030082265147939324,0.00029276692252448554,0.0027391749899834394,0.0034839489962905645,4
2000,c,3,0.0005274667637422681,9.744406161161376e-05,0.00041964417323470116,0.0006807930767536163,4
2000,cpp,3,0.0004722699522972107,5.097953142812275e-05,0.00042340392246842384,0.0005436448846012354,4
50,python,5,0.0012198210461065173,0.00012439655053501477,0.001131837023422122,0.001432265155017376,4
50,cython,5,0.00019880244508385658,3.7972494358655806e-05,0.0001660529524087906,0.0002613628748804331,4
50,c,5,0.00017494673375040293,3.7312247104199866e-05,0.00013672607019543648,0.0002213579136878252,4
50,cpp,5,0.0001744275214150548,4.803796239774224e-05,0.00014574499800801277,0.00025762408040463924,4
100,python,5,0.0012393726501613855,2.3602870087878074e-05,0.0012143338099122047,0.0012635188177227974,4
100,cython,5,0.00020023778779432178,2.716692905719038e-05,0.0001827471423894167,0.0002471958287060261,4
100,c,5,0.000149185536429286,1.7899997997167633e-05,0.00013622804544866085,0.00017983303405344486,4
100,cpp,5,0.00015013397205621004,1.6895343886462475e-05,0.00013776496052742004,0.00017923093400895596,4
200,python,5,0.0018632010323926806,0.0003786737311877706,0.0014026709832251072,0.0022607401479035616,4
200,cython,5,0.0003199625061824918,2.89667587585971e-05,0.00028700195252895355,0.0003557500895112753,4
200,c,5,0.0001723987516015768,2.6493210053770505e-05,0.0001559159718453884,0.0002182680182158947,4
