N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,cython,3,0.0055987304658629,0.002219591855191046,0.0039732689037919044,0.00941982795484364,4
50,c,3,0.0007801424944773316,0.0011426910754630895,0.00011619087308645248,0.002759331138804555,4
50,cpp,3,0.0008340179920196533,0.001184168666317814,0.00013901502825319767,0.0028850228991359472,4
100,cython,3,0.004286906274501234,0.0006039051999119472,0.003690684912726283,0.005295782117173076,4
100,c,3,0.0002854609629139304,3.747881204287324e-05,0.00025393697433173656,0.0003475779667496681,4
100,cpp,3,0.00026484410045668483,1.8250012579915665e-05,0.00025101681239902973,0.0002961698919534683,4
200,cython,3,0.005654016276821494,0.000424199877455401,0.0049524190835654736,0.006093228934332728,4
200,c,3,0.0007735492545180023,3.779298632230623e-05,0.0007300570141524076,0.0008339828345924616,4
200,cpp,3,0.0009131350088864565,0.00013351174617033825,0.0008146748878061771,0.0011432140599936247,4
500,cython,3,0.010457858734298497,0.00232462494454666,0.007175804814323783,0.013378347037360072,4
500,c,3,0.0033863824792206287,0.00024809704425406934,0.0031388651113957167,0.0037850758526474237,4
500,cpp,3,0.003187611699104309,0.00011577989531885947,0.003075147047638893,0.0033515829127281904,4
800,cython,3,0.015331454924307764,0.0029889087432263847,0.012197920819744468,0.018757745856419206,4
800,c,3,0.007121709058992565,0.0002030967057597635,0.006902611115947366,0.007412746082991362,4
800,cpp,3,0.007353955530561507,0.00027330405993040665,0.0070207989774644375,0.007752696983516216,4
1000,cython,3,0.01923907798482105,0.002228238697929297,0.016683875117450953,0.021738796960562468,4
1000,c,3,0.00798710499657318,0.0011922573010542067,0.006703109946101904,0.009899070020765066,4
1000,cpp,3,0.008293654769659042,0.0007134913977899171,0.007498892955482006,0.009297513170167804,4
50,cython,5,0.005571443762164563,0.002824000865930559,0.003609670093283057,0.010415747994557023,4
50,c,5,0.00014660571468994021,2.1315033436414873e-05,0.00012826500460505486,0.00018234411254525185,4
50,cpp,5,0.00013737677363678813,2.422200193484829e-05,0.00011822395026683807,0.00017799809575080872,4
100,cython,5,0.004719636752270162,0.0007571102690588112,0.0037672030739486217,0.005865982035174966,4
100,c,5,0.0002139307325705886,4.3459639641211523e-05,0.0001742010936141014,0.0002804058603942394,4
100,cpp,5,0.00019267451716586947,2.590151849585363e-05,0.00017584790475666523,0.00023736199364066124,4
200,cython,5,0.005226580717135221,0.0008380211072576709,0.0038235739339143038,0.006012014113366604,4
200,c,5,0.0006150852423161268,6.296130155579404e-05,0.0005188779905438423,0.0006799709517508745,4
200,cpp,5,0.0006848254706710577,0.00014874337469095576,0.0004979979712516069,0.000894883181899786,4
500,cython,5,0.02170970500446856,0.015107637996940645,0.009709842037409544,0.04750412586145103,4
500,c,5,0.0024320745142176747,0.0003029171021424392,0.0020854510366916656,0.002867904957383871,4
500,cpp,5,0.002686737454496324,0.0008036299353083227,0.0018703220412135124,0.0036600108724087477,4
800,cython,5,0.011808996554464102,0.003427643183420804,0.007707163924351335,0.016327381134033203,4
800,c,5,0.005232446186710149,0.0008931979830843575,0.00446897791698575,0.0066853780299425125,4
800,cpp,5,0.005564563616644591,0.0009075484231843139,0.004534166073426604,0.006605995120480657,4
1000,cython,5,0.018181189021561295,0.006219075640613034,0.010870710015296936,0.0267578789498657,4
1000,c,5,0.007430471945554018,0.0008979674726852065,0.00627528689801693,0.008635222911834717,4
1000,cpp,5,0.008149859204422683,0.0013013090691200249,0.00655364291742444,0.010128287831321359,4
50,cython,8,0.005326674552634358,0.002173117428944466,0.0033847209997475147,0.00901145301759243,4
50,c,8,0.00015498726861551404,4.013201319710723e-05,0.00010743108578026295,0.00021861004643142223,4
50,cpp,8,0.00021523545728996396,7.243254189532738e-05,0.0001165738794952631,0.00029664509929716587,4
100,cython,8,0.003725961549207568,0.0002704801990177793,0.003423816990107298,0.0041611772030591965,4
100,c,8,0.00021721672965213656,3.060702244579395e-05,0.0001906298566609621,0.00026708003133535385,4
100,cpp,8,0.0002647674991749227,4.0728705136055394e-05,0.00023912196047604084,0.00033520394936203957,4
200,cython,8,0.004611229465808719,0.0005211997036743344,0.004084436921402812,0.005416214931756258,4
200,c,8,0.0008103467407636344,0.00015256016369423085,0.0006192678119987249,0.001036887988448143,4
200,cpp,8,0.0004622642300091684,5.916401464731111e-05,0.0004264628514647484,0.000564709072932601,4
500,cython,8,0.007730828772764653,0.0022359984622193903,0.00579015095718205,0.011523219058290124,4
500,c,8,0.002185527526307851,0.00036529263126846103,0.0018853708170354366,0.002810609992593527,4
500,cpp,8,0.0029222347075119615,0.00044052011284790026,0.0023820940405130386,0.0035205408930778503,4
800,cython,8,0.011996130691841245,0.004409671709059866,0.007802047999575734,0.018734907964244485,4
800,c,8,0.004701114492490888,0.0006423473376528026,0.004272266989573836,0.00581165892072022,4
800,cpp,8,0.006296937703154981,0.0008676836320428716,0.005347573896870017,0.007301116827875376,4
1000,cython,8,0.019780111964792013,0.0027711176060691307,0.015408474951982498,0.022444911999627948,4
1000,c,8,0.010815176763571799,0.0002829746160786979,0.010442059021443129,0.011237051105126739,4
1000,cpp,8,0.010596200416330248,0.0014031386357441988,0.008375088917091489,0.01226612483151257,4
