N,backend,n_threads,mean_s,std_s,min_s,max_s,n_measures
50,cython,3,0.004664155771024525,0.00157916153616491,0.0036455150693655014,0.007394558982923627,4
50,c,3,0.0009067641803994775,0.0012896779149049135,0.00015128380618989468,0.0031404648907482624,4
50,cpp,3,0.0008744790684431791,0.0012433938742230641,0.00014441506937146187,0.003027975093573332,4
100,cython,3,0.005315130576491356,0.0018055648527233836,0.003772687166929245,0.008291844045743346,4
100,c,3,0.0002344275126233697,4.084183075734416e-05,0.00019648810848593712,0.0002946220338344574,4
100,cpp,3,0.00021138705778867006,2.111066628207873e-05,0.00019715004600584507,0.0002478619571775198,4
200,cython,3,0.004492960579227656,0.0008032223533693073,0.003909354098141193,0.005861568031832576,4
200,c,3,0.00039017421659082174,2.213570589921823e-05,0.00035765604116022587,0.00041138497181236744,4
200,cpp,3,0.00036296306643635035,2.1322039457100344e-05,0.000347356079146266,0.0003993192221969366,4
500,cython,3,0.006397912686225027,0.0023307708412594894,0.004623882006853819,0.010369357885792851,4
500,c,3,0.0007354152039624751,0.00021175883943033808,0.0005820579826831818,0.00109546585008502,4
500,cpp,3,0.0006651190342381597,8.49465354184109e-05,0.0005844400729984045,0.0008072440978139639,4
800,cython,3,0.008052467019297183,0.003367080717820113,0.004976809956133366,0.013732486171647906,4
800,c,3,0.0011550849303603172,9.726802926835475e-05,0.0010534359607845545,0.0012913788668811321,4
800,cpp,3,0.0014834881876595318,0.00028422526961255573,0.0010389839299023151,0.0017913710325956345,4
1000,cython,3,0.0075072855688631535,0.0028834465418156384,0.0056216169614344835,0.012487041996791959,4
1000,c,3,0.0017140922136604786,0.0002880541218814783,0.001371460035443306,0.0020988869946449995,4
1000,cpp,3,0.001582424738444388,0.00028429824331304776,0.001311441883444786,0.002041403902694583,4
2000,cython,3,0.011560735758394003,0.0032270405574960402,0.008790974970906973,0.016736272955313325,4
2000,c,3,0.003502167761325836,0.00016206102418647852,0.003370119957253337,0.0037732289638370275,4
2000,cpp,3,0.0035546832368709147,0.0007069997198074279,0.0029057860374450684,0.004725836915895343,4
50,cython,5,0.005932563217356801,0.0027544913191758554,0.004206466022878885,0.010694894008338451,4
50,c,5,0.00017059792298823595,3.5779732581229346e-05,0.00013197795487940311,0.000226528849452734,4
50,cpp,5,0.0001405866933055222,1.4814517878764035e-05,0.00013081985525786877,0.0001661679707467556,4
100,cython,5,0.0040339387487620115,0.000612811660626815,0.0034958580508828163,0.005056224996224046,4
100,c,5,0.00020915002096444368,3.9747399244135043e-05,0.0001733971294015646,0.00026978994719684124,4
100,cpp,5,0.00020212552044540644,3.411296263874096e-05,0.00017480202950537205,0.00025863200426101685,4
200,cython,5,0.004359827726148069,0.00031283729992649613,0.003955674823373556,0.004825593903660774,4
200,c,5,0.00036745675606653094,3.0121090158157746e-05,0.0003275189083069563,0.00039938301779329777,4
200,cpp,5,0.0003288455191068351,1.4164021283355944e-05,0.00032013002783060074,0.00035337102599442005,4
500,cython,5,0.006092816183809191,0.0018208488471598988,0.004623509012162685,0.009148598881438375,4
500,c,5,0.0006349925533868372,8.37221796803468e-05,0.0005786300171166658,0.0007791430689394474,4
500,cpp,5,0.0006542353075928986,6.041777130181957e-05,0.0005832230672240257,0.0007484711240977049,4
800,cython,5,0.007135641993954778,0.0026294179833833845,0.00507441395893693,0.011617460986599326,4
800,c,5,0.0010650705080479383,0.0001246915270181733,0.000944248866289854,0.0012516900897026062,4
800,cpp,5,0.0013459566980600357,0.00048184628994096666,0.0009545849170535803,0.002148034982383251,4
1000,cython,5,0.008758643176406622,0.0022077337268020976,0.006258619949221611,0.011977159883826971,4
1000,c,5,0.0017896703211590648,0.00013389319594482655,0.0016300380229949951,0.001998267136514187,4
1000,cpp,5,0.0019865583162754774,0.00028186573743202816,0.0017426819540560246,0.0024665151722729206,4
2000,cython,5,0.013241393666248769,0.002262779218103495,0.010464607970789075,0.016343871830031276,4
2000,c,5,0.0037326476885937154,0.0002586284783548517,0.003445833921432495,0.004088229965418577,4
2000,cpp,5,0.0040070812101475894,0.00025083442314469736,0.0038087109569460154,0.004435164155438542,4
50,cython,8,0.006640942068770528,0.0018062071891169062,0.004846078110858798,0.008937217062339187,4
50,c,8,0.0001889282721094787,4.8605645464653426e-05,0.000157827977091074,0.0002730011474341154,4
50,cpp,8,0.0001619950053282082,2.3034212007792517e-05,0.00014707702212035656,0.00020184204913675785,4
100,cython,8,0.005328082770574838,0.00046332641955527904,0.004549264907836914,0.005693729035556316,4
100,c,8,0.00032905658008530736,3.394488690271612e-05,0.0002870380412787199,0.00037528714165091515,4
100,cpp,8,0.00029386801179498434,5.876221829249951e-05,0.00024002697318792343,0.0003845340106636286,4
200,cython,8,0.005121565598528832,0.00037538814218505474,0.0045335059985518456,0.005528123117983341,4
200,c,8,0.0004061376675963402,5.547844318978832e-05,0.0003522038459777832,0.0004975830670446157,4
200,cpp,8,0.0004783828044310212,6.423104406003694e-05,0.0004070759750902653,0.0005598221905529499,4
500,cython,8,0.00649536051787436,0.001091022031855291,0.00525338901206851,0.007896387949585915,4
500,c,8,0.001124866772443056,0.00018401511568008811,0.0009337780065834522,0.0014290569815784693,4
500,cpp,8,0.0009127160301432014,7.012279600514376e-05,0.000839760061353445,0.001004799036309123,4
800,cython,8,0.009306400257628411,0.0023084372952997963,0.007176487008109689,0.012935505015775561,4
800,c,8,0.0013549557188525796,7.009212258408333e-05,0.0012557387817651033,0.0014497560914605856,4
800,cpp,8,0.0014680630411021411,7.697180264837267e-05,0.0013715310487896204,0.0015617210883647203,4
1000,cython,8,0.0090168037568219,0.0018812470761839493,0.007156353909522295,0.011663694167509675,4
1000,c,8,0.001612650987226516,0.00037985484307377,0.0012236100155860186,0.0020253530237823725,4
