N,d,edges,val_MB,col_MB,rowptr_MB,omega_MB,theta0_MB,output_MB,total_GPU_memory_MB
500,10,5000,0.019,0.019,0.002,0.002,0.002,0.097,0.141
1000,10,10000,0.038,0.038,0.004,0.004,0.004,0.194,0.282
5000,10,50000,0.191,0.191,0.020,0.020,0.020,1.020,1.462
10000,10,100000,0.382,0.382,0.040,0.040,0.040,2.040,2.924
20000,10,200000,0.763,0.763,0.080,0.080,0.080,4.080,5.846
30000,10,300000,1.144,1.144,0.120,0.120,0.120,6.120,8.768
40000,10,400000,1.526,1.526,0.160,0.160,0.160,8.160,11.691
100000,10,1000000,3.815,3.815,0.400,0.400,0.400,20.400,29.230
300000,10,3000000,11.444,11.444,1.200,1.200,1.200,61.200,87.688
1000000,10,10000000,38.147,38.147,4.000,4.000,4.000,204.000,292.293
