N,degree,time,note
100,50,0.029414528980851173,CPU (GPU overhead)
500,50,0.03954484174028039,CPU (GPU overhead)
1000,50,0.01402442716062069,CPU (GPU overhead)
2000,50,0.035940117202699184,Transition CPU→GPU
5000,50,0.09610681282356381,Transition CPU→GPU
10000,50,0.35548757389187813,Transition CPU→GPU
20000,50,1.070636783260852,GPU (accéléré)
50000,50,2.869313240982592,GPU (accéléré)
100000,50,5.097404498141259,GPU (accéléré)
200000,50,13.959688108880073,GPU (accéléré)
500000,50,30.831927531864494,GPU (accéléré)
1000000,50,93.05457754433155,GPU (accéléré)
