N,degree,n_edges,density,mean_time,std_time,min_time,max_time,n_measures
500,5,2500,0.01,0.07046018447726965,0.09872027507267446,0.0005996525287628174,0.2100717220455408,3
1000,10,10000,0.01,0.0009160976236065229,0.0004499942965515791,0.0005886256694793701,0.0015523945912718773,3
5000,50,250000,0.01,0.0013663973659276962,0.0003205217000080146,0.000983993522822857,0.0017683757469058037,3
10000,100,1000000,0.01,0.002616168620685736,0.0006600088743371623,0.00168595090508461,0.0031479019671678543,3
20000,200,4000000,0.01,0.0041143450265129404,0.000394812755186972,0.0036544445902109146,0.004618492908775806,3
30000,300,9000000,0.01,0.006581469128529231,0.0004742710028312389,0.006100397557020187,0.007226760499179363,3
40000,400,16000000,0.01,0.007583557007213433,9.441735178811226e-05,0.007472767494618893,0.007703498005867004,3
100000,1000,100000000,0.01,0.036821157981952034,0.00201365353520586,0.03406571224331856,0.03882164880633354,3
300000,3000,900000000,0.01,0.6240767017006874,0.02103337018311108,0.6010387474671006,0.6518911840394139,3
500000,5000,2500000000,0.01,,,,,0
