N,degree,n_edges,mean_time,std_time,min_time,max_time,n_measures
500,10,5000,0.10625704191625118,0.14853738946197598,0.001222250983119011,0.316320632584393,3
1000,10,10000,0.0015138760209083557,0.0001535531509753077,0.00131144467741251,0.001683165319263935,3
5000,10,50000,0.0006926928957303365,0.00010793929444063928,0.0006095608696341515,0.0008451333269476891,3
10000,10,100000,0.0014025984952847164,0.00044313586928246805,0.0008916603401303291,0.0019723298028111458,3
20000,10,200000,0.0021731307109196982,0.0008561852993646697,0.001349305734038353,0.0033535249531269073,3
30000,10,300000,0.002623658316830794,0.0005053801507947359,0.001912829466164112,0.00304353516548872,3
40000,10,400000,0.005361196274558703,0.0007309004690301068,0.004362044855952263,0.00609010923653841,3
100000,10,1000000,0.007942380073169867,0.00038781297803214206,0.007511395961046219,0.008451620116829872,3
300000,10,3000000,0.016407520199815433,0.0005726281228642238,0.015983513556420803,0.01721703354269266,3
1000000,10,10000000,0.03190733088801304,0.00895561141016652,0.024822362698614597,0.04454139806330204,3
