regime,N,degree,n_edges,density,mean_time,std_time,min_time,max_time,n_measures
constant,500,10,5000,0.02,0.1819624857356151,0.25643575689269865,0.0006230967119336128,0.544617410749197,3
constant,1000,10,10000,0.01,0.0005950247868895531,5.591526889534131e-05,0.0005507562309503555,0.0006739040836691856,3
constant,5000,10,50000,0.002,0.0009276578202843666,0.000299209162921638,0.0006068488582968712,0.0013270191848278046,3
constant,10000,10,100000,0.001,0.0013031807417670886,0.00033086971980314343,0.000887957401573658,0.0016976194456219673,3
constant,50000,10,500000,0.0002,0.003401911507050196,0.00023506104685012993,0.003072286956012249,0.0036040237173438072,3
constant,100000,10,1000000,0.0001,0.005235242657363415,6.236898596545279e-05,0.005184884183108807,0.005323134362697601,3
linear,500,10,5000,0.02,0.0008511189371347427,0.00036354122923225107,0.0005636271089315414,0.0013639917597174644,3
linear,1000,20,20000,0.02,0.0006225543717543284,6.578290623437125e-05,0.0005441531538963318,0.0007051257416605949,3
linear,2000,40,80000,0.02,0.000626536396642526,6.93148558067066e-05,0.0005709603428840637,0.0007242551073431969,3
linear,5000,100,500000,0.02,0.0011865273118019104,0.0001017227292623686,0.0011071795597672462,0.0013301204890012741,3
linear,10000,200,2000000,0.02,0.0022200150415301323,0.0003401288640109366,0.0018009347841143608,0.002634030766785145,3
linear,20000,400,8000000,0.02,0.004380572897692521,0.0003583801751756842,0.0038780877366662025,0.004689139313995838,3
linear,50000,1000,50000000,0.02,0.0204358600700895,0.00261424602473221,0.01814153790473938,0.024093695916235447,3
quadratic,500,10,5000,0.02,0.0007010139524936676,9.051883201756524e-05,0.0005790414288640022,0.0007956530898809433,3
quadratic,1000,40,40000,0.04,0.0006454096486171087,0.00012213303563776272,0.0005481448024511337,0.0008176518604159355,3
quadratic,2000,160,320000,0.08,0.0010463856160640717,8.341057317353903e-05,0.0009778551757335663,0.0011637993156909943,3
quadratic,5000,1000,5000000,0.2,0.0028413099547227225,0.00029188066796563577,0.002458883449435234,0.0031670741736888885,3
quadratic,10000,4000,40000000,0.4,0.015783681844671566,0.002053065771136978,0.013801711611449718,0.018612182699143887,3
