Timestamp,GPU_Usage_Pourcent,Temperature_GPU_C,Power_GPU_mW,RAM_Used_MB
09-09-2026_16:55:26,8,35.343,3153,10168
09-09-2026_16:55:27,0,35.906,9856,10359
09-09-2026_16:55:28,0,35.187,4730,11707
09-09-2026_16:55:29,0,36.562,13404,10726
09-09-2026_16:55:30,0,35.656,6307,11636
09-09-2026_16:55:31,100,35.406,3942,13168
09-09-2026_16:55:32,100,35.281,3153,14694
09-09-2026_16:55:33,100,35.375,3153,16232
09-09-2026_16:55:34,100,35.343,3153,14814
09-09-2026_16:55:35,0,36.968,16952,12137
09-09-2026_16:55:36,0,37.406,18521,12116
09-09-2026_16:55:37,0,37.750,18521,12091
09-09-2026_16:55:38,0,37.906,18127,12086
09-09-2026_16:55:39,0,36.468,6702,12988
09-09-2026_16:55:40,0,36.187,3942,14528
09-09-2026_16:55:41,0,36.000,3153,16044
09-09-2026_16:55:42,0,36.000,3153,17571
09-09-2026_16:55:43,0,35.937,3153,19093
09-09-2026_16:55:44,0,35.843,3153,20634
09-09-2026_16:55:45,0,35.875,3153,22145
09-09-2026_16:55:46,0,35.812,3153,23685
09-09-2026_16:55:47,0,35.812,3153,25214
09-09-2026_16:55:48,0,35.718,3153,20144
09-09-2026_16:55:49,0,36.593,4336,14500
09-09-2026_16:55:50,0,38.125,21674,14466
09-09-2026_16:55:51,0,38.218,18521,14411
09-09-2026_16:55:52,0,38.812,23250,14392
09-09-2026_16:55:53,0,38.906,19704,14316
09-09-2026_16:55:54,0,39.343,23250,14290
09-09-2026_16:55:55,0,39.500,20886,14268
09-09-2026_16:55:56,0,39.781,23644,14244
09-09-2026_16:55:57,0,38.062,9063,14917
09-09-2026_16:55:58,100,37.531,4336,16426
09-09-2026_16:55:59,100,37.437,3548,17942
09-09-2026_16:56:00,100,37.187,3153,19454
09-09-2026_16:56:01,100,37.093,3153,20968
09-09-2026_16:56:02,100,36.906,3153,22486
09-09-2026_16:56:03,100,36.812,3153,24002
09-09-2026_16:56:04,100,36.843,3153,25512
09-09-2026_16:56:05,100,36.625,3153,27042
09-09-2026_16:56:06,100,36.656,3153,28558
09-09-2026_16:56:07,100,36.718,3153,30079
09-09-2026_16:56:08,100,36.562,3153,31597
09-09-2026_16:56:09,100,36.468,3153,33111
09-09-2026_16:56:10,100,36.468,3153,34637
09-09-2026_16:56:11,100,36.375,3153,36155
09-09-2026_16:56:12,100,36.281,3153,37669
09-09-2026_16:56:13,100,36.343,3153,39579
09-09-2026_16:56:14,100,36.343,3153,28247
09-09-2026_16:56:15,100,36.250,3153,30070
09-09-2026_16:56:16,0,38.187,14186,17399
09-09-2026_16:56:17,0,38.812,22462,17383
09-09-2026_16:56:18,0,39.156,23250,17365
09-09-2026_16:56:19,0,38.406,15375,17345
09-09-2026_16:56:20,0,38.156,8279,17303
09-09-2026_16:56:21,0,39.562,22068,17285
09-09-2026_16:56:22,0,39.625,23250,17266
09-09-2026_16:56:23,0,39.343,17733,17248
09-09-2026_16:56:24,0,38.781,12615,17232
09-09-2026_16:56:25,0,39.906,19704,17182
09-09-2026_16:56:26,0,40.250,23250,17166
09-09-2026_16:56:27,0,40.281,22856,17150
09-09-2026_16:56:28,0,39.718,14981,17135
09-09-2026_16:56:29,0,40.031,13398,17085
09-09-2026_16:56:30,0,40.593,22462,17069
09-09-2026_16:56:31,0,40.812,23250,17053
09-09-2026_16:56:32,0,40.093,16163,17039
09-09-2026_16:56:33,0,39.187,9856,17023
09-09-2026_16:56:34,0,38.718,5125,10759
09-09-2026_16:56:35,0,38.406,3942,10743
09-09-2026_16:56:36,0,38.156,3153,10727
