N,backend,mean_s_1T,mean_s_8T,speedup,f_estimated,speedup_max,speedup_theorique_8T
100,cython,0.0014308491954579,0.0059615034260787,0.24001482397856644,0.0,1.0,1.0
100,c,0.0013883827487006,0.0002634327975101,5.270348877676743,0.926010560328638,13.51544226367558,5.270348877676745
100,cpp,0.0012226062826812,0.0002312044962309,5.2879866205551815,0.9267338383059004,13.64886568202103,5.2879866205551815
200,cython,0.0044499562354758,0.0044253094820305,1.0055694982566488,0.006329886572511053,1.006370209274663,1.0055694982566488
200,c,0.0128874193178489,0.0007528052665293,7.119193888300604,1.076098325221566,inf,17.119193888300593
200,cpp,0.0054825510014779,0.000713679997716,7.682085835421734,0.9940880237218838,169.14817532363898,7.682085835421739
500,cython,0.0188486630795523,0.0088472320348955,2.1304587700660362,0.6064200341391371,2.540779731541307,2.130458770066036
500,c,0.0148505745455622,0.0029281819588504,5.071602364284941,0.9175127525111388,12.123086058060515,5.071602364284942
500,cpp,0.0146918836981058,0.0026867517735809,5.46826984263026,0.9338592009583166,15.119260947690979,5.468269842630261
800,cython,0.0365126605029217,0.0127324239583686,2.867691228497237,0.7443284827628561,3.911268688848381,2.867691228497237
800,c,0.0338102147215977,0.0056261298013851,6.00949781024852,0.9526819936278464,21.133603815322527,6.009497810248523
800,cpp,0.0321931160870008,0.0062084210803732,5.185395073922018,0.9224579010318266,12.896220418413519,5.1853950739220185
1000,cython,0.0556765937362797,0.0208716127090156,2.6675750701444314,0.7144316579858719,3.5017887240124344,2.6675750701444323
1000,c,0.0469301582779735,0.0110966642387211,4.229213146254684,0.8726278819202149,7.851011784020159,4.229213146254684
1000,cpp,0.0511875042575411,0.0110810425248928,4.619376213253572,0.8954520625828535,9.564990230366742,4.619376213253572
