N,backend,mean_s_1T,mean_s_8T,speedup,f_estimated,speedup_max,speedup_theorique_8T
100,cython,0.000455291068647,0.0054758960031904,0.08314457914864262,0.0,1.0,1.0
100,c,0.0005063890130259,0.0002517752582207,2.01127392979183,0.5746316386487577,2.350903571726302,2.01127392979183
100,cpp,0.0004818520392291,0.0002095139934681,2.2998561158277258,0.6459316460871742,2.8243134099643576,2.2998561158277253
200,cython,0.0011259331949986,0.0049066592473536,0.22947042748197166,0.0,1.0,1.0
200,c,0.0011236442369408,0.0004632782656699,2.425419710367831,0.6716574004076923,3.0455993259530363,2.4254197103678306
200,cpp,0.0016198834637179,0.0003556112060323,4.555209274172217,0.8919669918080837,9.256430203475777,4.555209274172218
500,cython,0.0040057995356619,0.0076130517991259,0.5261752633972397,0.0,1.0,1.0
500,c,0.0041807504021562,0.0008822532254271,4.738719317384522,0.9016828790292678,10.171168461062726,4.738719317384523
500,cpp,0.0043451125384308,0.0011900578974746,3.6511774323345807,0.8298465691347932,5.877048701957623,3.6511774323345807
800,cython,0.0069197925622574,0.0105226564919576,0.6576089001428636,0.0,1.0,1.0
800,c,0.0072247474454343,0.0013960590003989,5.175101799687515,0.9220195270780385,12.823723203124759,5.175101799687514
800,cpp,0.0067590274848043,0.0013381532044149,5.051011694703258,0.9165941262706638,11.989563267991667,5.051011694703258
1000,cython,0.0087313564727082,0.0088804579572752,0.9832101581602726,0.0,1.0,1.0
1000,c,0.0080609679571352,0.001852385525126,4.3516686174639,0.8802321032871063,8.349482853466062,4.3516686174639
1000,cpp,0.0080665937857702,0.0022108072880655,3.648709604548404,0.8296348624562907,5.869745503204478,3.648709604548405
2000,cython,0.0167213449603877,0.0132196017657406,1.2648902180791919,0.23933434971495476,1.3146380405441846,1.2648902180791917
2000,c,0.0166313254740089,0.0034880154998973,4.768134050579359,0.9031706888409688,10.327451347429433,4.768134050579358
2000,cpp,0.0175521511700935,0.0041827314416877,4.196337110041983,0.8705107815216235,7.722650671237088,4.196337110041983
