
09-09-2026 16:55:26 RAM 10168/125749MB (lfb 380x4MB) CPU [8%@972,7%@972,8%@972,7%@972,6%@972,7%@972,11%@1566,14%@1566,8%@972,7%@972,7%@972,8%@972,19%@2601,8%@2601] cpu@33.968C/33.968C tj@35.343C/35.343C soc012@34.187C/34.187C gpu@35.343C/35.343C soc345@34.812C/34.812C VDD_GPU 3153mW/3153mW/3153mW VDD_CPU_SOC_MSS 6702mW/6702mW/6702mW VIN_SYS_5V0 6249mW/6249mW/6249mW VIN 25160mW/12580mW/25160mW
09-09-2026 16:55:27 RAM 10359/125749MB (lfb 380x4MB) CPU [1%@972,0%@972,2%@972,0%@972,0%@972,1%@972,2%@972,0%@972,0%@972,0%@972,1%@972,0%@972,41%@972,0%@972] cpu@34.062C/34.062C tj@35.906C/35.906C soc012@34.125C/34.187C gpu@35.906C/35.906C soc345@35.437C/35.437C VDD_GPU 9856mW/5387mW/9856mW VDD_CPU_SOC_MSS 7884mW/7096mW/7884mW VIN_SYS_5V0 10010mW/7503mW/10010mW VIN 42352mW/20023mW/42352mW
09-09-2026 16:55:28 RAM 11707/125749MB (lfb 208x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,2%@972,0%@972,0%@972,0%@972,0%@972,2%@972,98%@2601,0%@2601] cpu@34.531C/34.531C tj@35.187C/35.906C soc012@34.343C/34.343C gpu@35.187C/35.906C soc345@34.843C/35.437C VDD_GPU 4730mW/5256mW/9856mW VDD_CPU_SOC_MSS 7487mW/7174mW/7884mW VIN_SYS_5V0 6753mW/7353mW/10010mW VIN 26500mW/21103mW/42352mW
09-09-2026 16:55:29 RAM 10726/125749MB (lfb 278x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,1%@972,2%@972,0%@972,0%@972,0%@972,3%@972,0%@972,27%@972,0%@972] cpu@34.718C/34.718C tj@36.562C/36.562C soc012@34.562C/34.562C gpu@36.562C/36.562C soc345@36.25C/36.25C VDD_GPU 13404mW/6420mW/13404mW VDD_CPU_SOC_MSS 9856mW/7557mW/9856mW VIN_SYS_5V0 14156mW/8325mW/14156mW VIN 52776mW/25062mW/52776mW
09-09-2026 16:55:30 RAM 11636/125749MB (lfb 223x4MB) CPU [1%@972,0%@972,2%@972,0%@972,0%@972,0%@972,2%@972,0%@972,1%@972,0%@972,65%@2601,0%@2601,0%@972,0%@972] cpu@34.812C/34.812C tj@35.656C/36.562C soc012@34.687C/34.687C gpu@35.656C/36.562C soc345@35.187C/36.25C VDD_GPU 6307mW/6407mW/13404mW VDD_CPU_SOC_MSS 7884mW/7594mW/9856mW VIN_SYS_5V0 7963mW/8284mW/14156mW VIN 24312mW/24987mW/52776mW
09-09-2026 16:55:31 RAM 13168/125749MB (lfb 4x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,2%@972,0%@972,5%@972,2%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@34.656C/34.812C tj@35.406C/36.562C soc012@34.687C/34.687C gpu@35.406C/36.562C soc345@35.156C/36.25C VDD_GPU 3942mW/6183mW/13404mW VDD_CPU_SOC_MSS 7490mW/7584mW/9856mW VIN_SYS_5V0 6552mW/8127mW/14156mW VIN 25134mW/24999mW/52776mW
09-09-2026 16:55:32 RAM 14694/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972,0%@972,1%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972] cpu@34.687C/34.812C tj@35.281C/36.562C soc012@34.687C/34.687C gpu@35.281C/36.562C soc345@35.031C/36.25C VDD_GPU 3153mW/5950mW/13404mW VDD_CPU_SOC_MSS 7490mW/7577mW/9856mW VIN_SYS_5V0 6350mW/7990mW/14156mW VIN 23524mW/24894mW/52776mW
09-09-2026 16:55:33 RAM 16232/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,7%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,1%@972,0%@972] cpu@34.625C/34.812C tj@35.375C/36.562C soc012@34.656C/34.687C gpu@35.375C/36.562C soc345@34.937C/36.25C VDD_GPU 3153mW/5764mW/13404mW VDD_CPU_SOC_MSS 7487mW/7571mW/9856mW VIN_SYS_5V0 6350mW/7881mW/14156mW VIN 23488mW/24806mW/52776mW
09-09-2026 16:55:34 RAM 14814/125749MB (lfb 5x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,1%@972,5%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,1%@972,0%@972] cpu@35.031C/35.031C tj@35.343C/36.562C soc012@34.812C/34.812C gpu@35.343C/36.562C soc345@35.062C/36.25C VDD_GPU 3153mW/5610mW/13404mW VDD_CPU_SOC_MSS 8279mW/7613mW/9856mW VIN_SYS_5V0 8089mW/7893mW/14156mW VIN 28658mW/25020mW/52776mW
09-09-2026 16:55:35 RAM 12137/125749MB (lfb 298x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,3%@972,0%@972,0%@972,0%@972,7%@972,0%@972,0%@972,0%@972] cpu@35C/35.031C tj@36.968C/36.968C soc012@34.906C/34.906C gpu@36.968C/36.968C soc345@36.718C/36.718C VDD_GPU 16952mW/6207mW/16952mW VDD_CPU_SOC_MSS 10640mW/7772mW/10640mW VIN_SYS_5V0 15774mW/8308mW/15774mW VIN 52316mW/26385mW/52776mW
09-09-2026 16:55:36 RAM 12116/125749MB (lfb 300x4MB) CPU [1%@972,0%@972,3%@972,14%@972,0%@972,0%@972,5%@972,0%@972,5%@972,0%@972,1%@972,0%@972,0%@972,0%@972] cpu@35.531C/35.531C tj@37.437C/37.437C soc012@35.125C/35.125C gpu@37.406C/37.406C soc345@36.875C/36.875C VDD_GPU 18521mW/6793mW/18521mW VDD_CPU_SOC_MSS 11034mW/7927mW/11034mW VIN_SYS_5V0 16482mW/8697mW/16482mW VIN 56724mW/27764mW/56724mW
