timestamp,ram_used_MB,ram_total_MB,gpu_power_mW,cpu_soc_power_mW,system_power_mW,vin_power_mW,gpu_temp_C,cpu_temp_C,tj_temp_C
09-08-2026 10:52:24,3926,125749,3153,5519,5837,21540,35.187,33.718,35.187
09-08-2026 10:52:25,4247,125749,5519,6702,6148,27638,35.781,34.125,35.562
09-08-2026 10:52:26,4696,125749,6702,7490,7672,25552,35.781,34.312,35.75
09-08-2026 10:52:27,5016,125749,7490,8673,9490,51420,36.531,34.812,36.531
09-08-2026 10:52:28,5008,125749,13798,9856,13954,53000,37.0,35.093,37.0
09-08-2026 10:52:29,6080,125749,5519,7487,7257,26372,35.937,34.75,35.937
09-08-2026 10:52:30,7628,125749,3942,7487,6552,25474,35.781,34.718,35.781
09-08-2026 10:52:31,6106,125749,8673,9457,11224,57008,37.093,35.25,37.093
09-08-2026 10:52:32,6044,125749,15375,10644,14965,59014,37.437,35.5,37.406
09-08-2026 10:52:33,5976,125749,15769,10640,15269,24756,37.031,35.343,37.031
09-08-2026 10:52:34,7174,125749,5519,7487,7257,27032,36.468,35.281,36.468
09-08-2026 10:52:35,8537,125749,3942,7487,6552,27114,36.218,35.125,36.218
09-08-2026 10:52:36,10084,125749,3153,7487,6350,23586,36.031,34.968,36.031
09-08-2026 10:52:37,11640,125749,3153,7487,6350,28022,36.031,35.187,36.031
09-08-2026 10:52:38,7325,125749,10250,9852,11932,57032,37.625,35.531,37.625
09-08-2026 10:52:39,7291,125749,15769,10246,14763,57282,37.906,36.031,37.906
09-08-2026 10:52:40,7258,125749,16163,10246,14864,59090,38.156,36.187,38.156
09-08-2026 10:52:41,7244,125749,15375,10246,14460,58156,38.312,36.343,38.312
09-08-2026 10:52:42,7306,125749,13798,9461,13246,25544,37.468,36.75,37.468
09-08-2026 10:52:43,8840,125749,5125,7487,7056,24404,37.093,37.812,37.812
09-08-2026 10:52:44,10388,125749,3942,7487,6552,24792,36.875,37.75,37.75
09-08-2026 10:52:45,11930,125749,3153,7487,6350,26316,36.687,37.625,37.625
09-08-2026 10:52:46,13474,125749,3153,7487,6350,24374,36.593,37.531,37.531
09-08-2026 10:52:47,15031,125749,3153,7487,6249,23744,36.656,37.593,37.593
09-08-2026 10:52:48,16571,125749,3153,7487,6350,24250,36.5,37.375,37.375
09-08-2026 10:52:49,18115,125749,3153,7487,6249,24180,36.5,37.375,37.375
09-08-2026 10:52:50,19663,125749,3153,7487,6350,24068,36.375,37.312,37.312
09-08-2026 10:52:51,21307,125749,3153,7881,6966,27998,36.375,37.218,37.218
09-08-2026 10:52:52,14624,125749,3153,8669,8392,28754,36.375,37.343,37.375
09-08-2026 10:52:53,11770,125749,13004,10246,13145,62598,38.125,36.031,38.125
09-08-2026 10:52:54,11756,125749,22856,12216,18172,66790,38.875,36.656,38.906
09-08-2026 10:52:55,11701,125749,20492,11822,17062,65902,39.125,36.812,39.125
09-08-2026 10:52:56,11693,125749,23644,12216,18677,64520,39.625,37.187,39.625
09-08-2026 10:52:57,11653,125749,21280,11822,17466,66650,39.687,37.437,39.687
09-08-2026 10:52:58,11645,125749,23644,12216,18778,64728,40.0,37.687,40.0
09-08-2026 10:52:59,11598,125749,21674,12216,17668,65962,40.093,37.875,40.093
09-08-2026 10:53:00,11582,125749,23644,12216,18778,64574,40.437,38.0,40.437
09-08-2026 10:53:01,12631,125749,7096,8275,8278,24618,38.5,37.156,38.437
09-08-2026 10:53:02,14175,125749,4336,7487,6451,25468,38.031,36.906,38.031
09-08-2026 10:53:03,15710,125749,3153,7487,6350,24088,37.812,36.781,37.812
09-08-2026 10:53:04,17257,125749,3153,7487,6350,24268,37.718,36.687,37.718
09-08-2026 10:53:05,18780,125749,3153,7487,6350,23798,37.593,36.468,37.593
09-08-2026 10:53:06,20324,125749,3153,7487,6350,24390,37.437,36.343,37.468
09-08-2026 10:53:07,21856,125749,3153,7487,6350,24532,37.281,36.312,37.281
09-08-2026 10:53:08,23400,125749,3153,7487,6350,23458,37.343,36.218,37.343
09-08-2026 10:53:09,24940,125749,3153,7487,6350,25946,37.312,36.125,37.312
09-08-2026 10:53:10,26476,125749,3153,7487,6350,23724,37.218,36.031,37.25
09-08-2026 10:53:11,28024,125749,3153,7487,6350,24362,37.218,36.062,37.218
09-08-2026 10:53:12,29560,125749,3153,7487,6350,23542,36.968,35.906,37.031
09-08-2026 10:53:13,31104,125749,3153,7487,6350,23744,36.937,35.906,36.937
09-08-2026 10:53:14,32644,125749,3153,7487,6350,24370,36.937,35.812,36.937
09-08-2026 10:53:15,34180,125749,3153,7487,6350,24354,36.937,35.75,36.937
09-08-2026 10:53:16,35719,125749,3153,7487,6350,24312,36.875,35.718,36.875
09-08-2026 10:53:17,25843,125749,3153,8673,8291,28848,36.875,36.156,36.875
09-08-2026 10:53:18,25828,125749,3153,8673,8494,28072,36.906,36.156,36.906
09-08-2026 10:53:19,17055,125749,3153,8673,8912,31962,36.781,36.125,36.781
09-08-2026 10:53:20,17661,125749,20886,11428,16785,65080,39.093,36.968,39.0
09-08-2026 10:53:21,17644,125749,23250,11822,17898,64650,39.5,37.125,39.5
09-08-2026 10:53:22,17628,125749,18915,10640,16204,46886,39.093,37.125,39.093
09-08-2026 10:53:23,17612,125749,13009,8673,12882,37104,38.812,36.875,38.812
09-08-2026 10:53:24,17564,125749,18521,10640,15370,62960,39.718,37.5,39.718
09-08-2026 10:53:25,17541,125749,23250,11822,17797,64250,40.187,37.875,40.187
09-08-2026 10:53:26,17526,125749,23250,11822,17898,63090,40.312,38.156,40.312
09-08-2026 10:53:27,17509,125749,14981,9461,14303,46382,39.625,37.812,39.625
09-08-2026 10:53:28,17476,125749,11038,9457,11444,63916,39.781,38.093,39.781
09-08-2026 10:53:29,17452,125749,22462,11428,17493,64076,40.593,38.406,40.625
09-08-2026 10:53:30,17431,125749,23250,11822,17898,63028,40.875,38.531,40.875
09-08-2026 10:53:31,17414,125749,16558,9856,14989,46512,40.218,38.375,40.218
09-08-2026 10:53:32,17389,125749,11432,7884,11242,24116,39.468,37.812,39.468
09-08-2026 10:53:33,17366,125749,20886,11428,16684,64128,40.875,38.687,40.875
09-08-2026 10:53:34,17342,125749,23250,11822,17898,63734,41.156,39.0,41.156
09-08-2026 10:53:35,17321,125749,20492,11034,16988,47104,40.812,38.812,40.812
09-08-2026 10:53:36,17305,125749,14192,9461,13897,41970,40.5,38.531,40.5
09-08-2026 10:53:37,17992,125749,5913,7881,7572,24956,39.437,38.625,39.437
09-08-2026 10:53:38,19504,125749,3940,7487,6350,24842,39.093,38.437,39.093
09-08-2026 10:53:39,21020,125749,3548,7487,6350,24558,38.843,38.281,38.843
09-08-2026 10:53:40,22525,125749,3153,7881,6350,25446,38.562,38.343,38.562
09-08-2026 10:53:41,24037,125749,3153,7487,6350,24834,38.468,38.125,38.468
09-08-2026 10:53:42,25551,125749,3152,7487,6350,25068,38.375,37.968,38.375
09-08-2026 10:53:43,27063,125749,3153,7487,6350,26530,38.312,37.781,38.312
09-08-2026 10:53:44,28583,125749,3152,7487,6350,24664,38.218,37.75,38.218
09-08-2026 10:53:45,30091,125749,3153,7487,6350,24010,38.031,37.718,38.031
09-08-2026 10:53:46,31603,125749,3152,7487,6350,23386,38.031,37.593,38.031
09-08-2026 10:53:47,33119,125749,3153,7487,6350,24994,37.937,37.437,37.937
09-08-2026 10:53:48,34629,125749,3153,7487,6350,25208,37.906,37.406,37.781
09-08-2026 10:53:49,36161,125749,3153,7487,6350,24016,37.843,37.375,37.843
09-08-2026 10:53:50,37671,125749,3153,7487,6350,24624,37.75,37.281,37.75
09-08-2026 10:53:51,39183,125749,3153,7487,6350,24120,37.656,37.281,37.656
09-08-2026 10:53:52,40703,125749,3153,7487,6350,24054,37.656,37.093,37.562
09-08-2026 10:53:53,42221,125749,3153,7487,6350,24038,37.562,37.187,37.625
09-08-2026 10:53:54,43735,125749,3153,7487,6350,23726,37.562,37.156,37.562
09-08-2026 10:53:55,45258,125749,3153,7487,6350,23738,37.5,37.093,37.5
09-08-2026 10:53:56,46772,125749,3153,7487,6350,24072,37.468,37.031,37.468
09-08-2026 10:53:58,48300,125749,3153,7487,6350,23866,37.406,37.062,37.406
09-08-2026 10:53:59,49814,125749,3153,7487,6350,24830,37.437,36.906,37.437
09-08-2026 10:54:00,51332,125749,3153,7487,6350,24264,37.406,36.968,37.406
09-08-2026 10:54:01,52860,125749,3153,7487,6350,24254,37.281,36.875,37.281
09-08-2026 10:54:02,54380,125749,3153,7487,6350,24320,37.25,36.875,37.25
09-08-2026 10:54:03,56340,125749,3153,8275,8089,27624,37.312,37.406,37.406
09-08-2026 10:54:04,38872,125749,3153,8669,8392,27690,37.25,37.468,37.468
09-08-2026 10:54:05,38848,125749,3153,8669,8291,27988,37.25,37.437,37.437
09-08-2026 10:54:06,39294,125749,3153,8669,8608,28690,37.218,37.343,37.343
09-08-2026 10:54:07,21151,125749,3548,8275,7988,24630,37.531,36.687,37.531
09-08-2026 10:54:08,21698,125749,4336,7487,6451,25886,37.406,36.812,37.406
09-08-2026 10:54:09,23210,125749,3548,7487,6350,25536,37.281,36.781,37.25
09-08-2026 10:54:10,24725,125749,3153,7487,6350,24438,37.218,36.75,37.218
09-08-2026 10:54:11,26245,125749,3153,7487,6350,24764,37.187,36.781,37.187
09-08-2026 10:54:12,27765,125749,3153,7487,6350,24066,37.156,36.75,37.187
09-08-2026 10:54:13,29283,125749,3153,7487,6350,24582,37.187,36.687,37.187
09-08-2026 10:54:14,30803,125749,3153,7487,6350,24860,37.156,36.687,37.156
09-08-2026 10:54:15,32318,125749,3153,7487,6350,25304,37.062,36.75,37.062
09-08-2026 10:54:16,33834,125749,3153,7487,6350,24876,37.093,36.656,37.093
09-08-2026 10:54:17,35354,125749,3153,7487,6350,24864,37.093,36.687,37.093
09-08-2026 10:54:18,36870,125749,3153,7487,6350,24422,37.0,36.437,37.0
09-08-2026 10:54:19,38390,125749,3153,7487,6350,24386,37.031,36.593,37.031
09-08-2026 10:54:20,39906,125749,3153,7487,6350,23758,37.031,36.531,37.031
09-08-2026 10:54:21,41422,125749,3153,7487,6350,24688,37.093,36.468,37.0
09-08-2026 10:54:22,42942,125749,3153,7487,6350,24232,36.937,36.531,36.937
09-08-2026 10:54:23,44458,125749,3153,7487,6350,24348,37.0,36.5,37.0
09-08-2026 10:54:24,45982,125749,3153,7487,6350,23916,37.0,36.468,36.906
09-08-2026 10:54:25,47502,125749,3153,7487,6350,24326,36.968,36.343,36.968
09-08-2026 10:54:26,49027,125749,3153,7487,6350,24094,37.0,36.437,37.0
09-08-2026 10:54:27,50545,125749,3153,7487,6350,25810,36.937,36.468,36.937
09-08-2026 10:54:28,52068,125749,3153,7487,6350,24598,36.968,36.5,36.968
09-08-2026 10:54:29,53596,125749,3153,7487,6350,24684,36.875,36.468,36.875
09-08-2026 10:54:30,55116,125749,3153,7487,6350,24028,36.937,36.437,36.937
09-08-2026 10:54:31,56640,125749,3153,7487,6350,23896,36.937,36.531,36.937
09-08-2026 10:54:32,58169,125749,3153,7487,6350,24268,36.875,36.375,36.875
09-08-2026 10:54:33,59691,125749,3153,7487,6350,25128,36.906,36.375,36.906
09-08-2026 10:54:34,61221,125749,3153,7487,6350,24400,36.843,36.406,36.843
09-08-2026 10:54:35,62743,125749,3153,7487,6350,24398,36.843,36.375,36.843
09-08-2026 10:54:36,64269,125749,3153,7487,6350,23810,36.75,36.343,36.75
09-08-2026 10:54:37,65799,125749,3153,7487,6350,25110,36.875,36.375,36.875
09-08-2026 10:54:38,67319,125749,3153,7487,6350,25230,36.75,36.312,36.75
09-08-2026 10:54:39,68851,125749,3153,7487,6350,23748,36.812,36.406,36.812
09-08-2026 10:54:40,70371,125749,3153,7487,6350,24000,36.843,36.343,36.843
09-08-2026 10:54:41,71895,125749,3153,7487,6350,24768,36.75,36.281,36.75
09-08-2026 10:54:42,73428,125749,3153,7487,6350,23556,36.843,36.375,36.843
09-08-2026 10:54:43,75108,125749,3153,7881,7168,27566,36.75,36.781,36.781
09-08-2026 10:54:44,77324,125749,3153,8669,8392,28212,36.781,36.843,36.843
09-08-2026 10:54:45,51272,125749,3153,8669,8392,27808,36.75,36.937,36.937
09-08-2026 10:54:46,51256,125749,3153,8669,8291,27694,36.875,36.937,36.937
09-08-2026 10:54:47,51240,125749,3153,8669,8291,27808,36.843,36.968,36.968
09-08-2026 10:54:48,52064,125749,3153,8673,8710,27780,36.937,36.906,36.937
09-08-2026 10:54:49,59480,125749,3153,8673,8811,28906,36.875,37.0,37.0
09-08-2026 10:54:50,24955,125749,3153,7487,6753,24178,36.781,36.375,36.781
09-08-2026 10:54:51,26482,125749,3153,7487,6350,24418,36.875,36.375,36.875
09-08-2026 10:54:52,28011,125749,3153,7487,6350,24218,36.906,36.468,36.906
09-08-2026 10:54:53,29539,125749,3153,7487,6350,24610,36.75,36.437,36.75
09-08-2026 10:54:54,31063,125749,3153,7487,6350,24498,36.781,36.375,36.781
09-08-2026 10:54:55,32591,125749,3153,7487,6350,26218,36.75,36.468,36.843
09-08-2026 10:54:56,34125,125749,3153,7487,6350,24930,36.875,36.343,36.875
09-08-2026 10:54:57,35655,125749,3153,7487,6350,24226,36.718,36.406,36.718
09-08-2026 10:54:58,37180,125749,3153,7487,6350,24012,36.812,36.312,36.812
09-08-2026 10:54:59,38710,125749,3153,7487,6350,24182,36.812,36.375,36.812
09-08-2026 10:55:00,40242,125749,3153,7487,6350,24512,36.812,36.375,36.812
09-08-2026 10:55:01,41768,125749,3153,7487,6350,24884,36.843,36.281,36.843
09-08-2026 10:55:02,43302,125749,3153,7487,6350,23864,36.687,36.281,36.718
09-08-2026 10:55:03,44834,125749,3153,7487,6350,24674,36.718,36.281,36.718
09-08-2026 10:55:04,46366,125749,3153,7487,6350,23958,36.687,36.312,36.687
09-08-2026 10:55:05,47896,125749,3153,7487,6350,24592,36.812,36.218,36.812
09-08-2026 10:55:06,49434,125749,3153,7487,6350,24352,36.687,36.312,36.687
09-08-2026 10:55:07,50976,125749,3153,7487,6350,24902,36.718,36.25,36.718
09-08-2026 10:55:08,52514,125749,3153,7487,6350,25296,36.718,36.25,36.718
09-08-2026 10:55:09,54046,125749,3153,7487,6350,24726,36.656,36.25,36.656
09-08-2026 10:55:10,55586,125749,3153,7487,6350,23808,36.718,36.343,36.718
09-08-2026 10:55:11,57130,125749,3153,7487,6350,24506,36.687,36.343,36.687
09-08-2026 10:55:12,58666,125749,3153,7487,6350,24682,36.75,36.218,36.75
09-08-2026 10:55:13,60206,125749,3153,7487,6350,24436,36.718,36.125,36.718
09-08-2026 10:55:14,61743,125749,3153,7487,6350,24592,36.656,36.281,36.656
09-08-2026 10:55:15,63279,125749,3153,7487,6350,25818,36.718,36.187,36.718
09-08-2026 10:55:16,64823,125749,3153,7487,6350,24538,36.656,36.218,36.656
09-08-2026 10:55:17,66360,125749,3153,7487,6249,23568,36.593,36.125,36.593
09-08-2026 10:55:18,67899,125749,3153,7487,6350,24358,36.781,36.312,36.781
09-08-2026 10:55:19,69442,125749,3153,7487,6350,24334,36.687,36.25,36.687
09-08-2026 10:55:20,70978,125749,3153,7487,6350,24224,36.687,36.125,36.687
09-08-2026 10:55:21,72518,125749,3153,7487,6350,24566,36.656,36.312,36.656
09-08-2026 10:55:22,74050,125749,3153,7487,6350,23992,36.656,36.187,36.656
09-08-2026 10:55:23,75586,125749,3153,7487,6350,24246,36.593,36.125,36.687
09-08-2026 10:55:24,77132,125749,3153,7487,6350,24492,36.687,36.218,36.687
09-08-2026 10:55:25,78666,125749,3153,7487,6350,24864,36.656,36.093,36.656
09-08-2026 10:55:26,80205,125749,3153,7487,6350,24626,36.656,36.125,36.656
09-08-2026 10:55:27,81737,125749,3153,7487,6350,24268,36.687,36.156,36.687
09-08-2026 10:55:28,83281,125749,3153,7487,6350,24150,36.593,36.093,36.593
09-08-2026 10:55:29,84822,125749,3153,7487,6350,24212,36.562,36.125,36.562
09-08-2026 10:55:30,86356,125749,3153,7487,6350,25408,36.531,36.093,36.531
09-08-2026 10:55:31,87890,125749,3153,7487,6350,24186,36.593,36.187,36.656
09-08-2026 10:55:32,89429,125749,3153,7487,6350,24562,36.593,36.156,36.593
09-08-2026 10:55:33,90965,125749,3153,7487,6350,24336,36.593,36.093,36.593
09-08-2026 10:55:34,92509,125749,3153,7487,6350,24770,36.656,36.218,36.656
09-08-2026 10:55:35,94051,125749,3153,7487,6350,24356,36.625,36.062,36.625
09-08-2026 10:55:36,95581,125749,3153,7487,6350,24254,36.531,36.062,36.531
09-08-2026 10:55:37,97119,125749,3153,7487,6350,24304,36.531,36.031,36.531
09-08-2026 10:55:38,98690,125749,3153,7487,6552,28046,36.562,36.406,36.562
09-08-2026 10:55:39,100917,125749,3153,8669,8392,27786,36.562,36.625,36.625
09-08-2026 10:55:40,103137,125749,3153,8669,8494,29550,36.625,36.625,36.625
09-08-2026 10:55:41,66539,125749,3153,8669,8291,27496,36.625,36.718,36.718
09-08-2026 10:55:42,66532,125749,3153,8669,8291,27466,36.656,36.718,36.718
09-08-2026 10:55:43,66524,125749,3153,8669,8291,27982,36.687,36.687,36.687
09-08-2026 10:55:44,66516,125749,3153,8673,8291,27876,36.625,36.625,36.625
09-08-2026 10:55:45,67555,125749,3153,8669,8710,28688,36.625,36.593,36.625
09-08-2026 10:55:46,74983,125749,3153,8673,8811,29110,36.687,36.625,36.687
09-08-2026 10:55:47,10881,125749,3153,7490,7672,20934,36.718,35.437,36.718
09-08-2026 10:55:48,10894,125749,3153,5913,6148,21178,36.687,35.312,36.687
09-08-2026 10:55:49,10883,125749,3153,5519,5846,21828,36.593,35.187,36.593
09-08-2026 10:55:50,10865,125749,3153,5519,5736,22434,36.625,35.031,36.625
09-08-2026 10:55:51,10857,125749,3153,5519,5837,21210,36.562,35.031,36.562
09-08-2026 10:55:52,10854,125749,3153,5519,5736,22850,36.562,35.0,36.562
09-08-2026 10:55:53,10836,125749,3153,5519,5837,21380,36.468,34.937,36.468
09-08-2026 10:55:54,10838,125749,3153,5519,5736,21782,36.468,34.968,36.468
