(neuromass) staki@fkolbl:~$ tegrastats
09-11-2026 15:39:06 RAM 10022/125749MB (lfb 433x4MB) CPU [3%@1674,3%@1674,0%@1674,1%@1674,1%@1674,1%@1674,3%@2160,1%@2160,0%@1674,0%@1674,7%@1836,1%@1836,0%@1998,7%@1998] cpu@33.156C/33.156C tj@34.625C/34.625C soc012@33.937C/33.937C gpu@34.625C/34.625C soc345@34.343C/34.343C VDD_GPU 3153mW/3153mW/3153mW VDD_CPU_SOC_MSS 5913mW/5913mW/5913mW VIN_SYS_5V0 6048mW/6048mW/6048mW VIN 27126mW/13563mW/27126mW
09-11-2026 15:39:07 RAM 10066/125749MB (lfb 433x4MB) CPU [9%@1674,6%@1674,6%@1674,6%@1674,5%@972,6%@972,98%@2601,7%@2601,6%@1674,6%@1674,9%@972,6%@972,6%@1404,6%@1404] cpu@34.875C/34.875C tj@34.875C/34.875C soc012@33.812C/33.937C gpu@34.875C/34.875C soc345@34.468C/34.468C VDD_GPU 3942mW/3416mW/3942mW VDD_CPU_SOC_MSS 7884mW/6570mW/7884mW VIN_SYS_5V0 5947mW/6014mW/6048mW VIN 25382mW/16518mW/27126mW
09-11-2026 15:39:08 RAM 10076/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,99%@2601,0%@2601,0%@1674,0%@1674,1%@1674,0%@1674,0%@972,6%@972] cpu@34.875C/34.875C tj@34.875C/34.875C soc012@33.906C/33.937C gpu@34.656C/34.875C soc345@34.406C/34.468C VDD_GPU 3153mW/3363mW/3942mW VDD_CPU_SOC_MSS 7881mW/6832mW/7884mW VIN_SYS_5V0 5947mW/6001mW/6048mW VIN 27250mW/18306mW/27250mW
09-11-2026 15:39:09 RAM 10116/125749MB (lfb 433x4MB) CPU [4%@972,1%@972,0%@972,0%@972,0%@972,0%@972,99%@2601,0%@2601,0%@972,0%@972,0%@972,1%@972,0%@972,7%@972] cpu@34.843C/34.875C tj@34.843C/34.875C soc012@33.781C/33.937C gpu@34.593C/34.875C soc345@34.406C/34.468C VDD_GPU 3153mW/3333mW/3942mW VDD_CPU_SOC_MSS 7884mW/6982mW/7884mW VIN_SYS_5V0 5947mW/5993mW/6048mW VIN 23334mW/18935mW/27250mW
09-11-2026 15:39:10 RAM 10116/125749MB (lfb 433x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@34.75C/34.875C tj@34.75C/34.875C soc012@33.75C/33.937C gpu@34.687C/34.875C soc345@34.343C/34.468C VDD_GPU 3153mW/3313mW/3942mW VDD_CPU_SOC_MSS 7884mW/7083mW/7884mW VIN_SYS_5V0 5837mW/5976mW/6048mW VIN 24154mW/19457mW/27250mW
09-11-2026 15:39:11 RAM 10116/125749MB (lfb 433x4MB) CPU [4%@972,0%@972,0%@972,1%@972,1%@972,1%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,10%@972] cpu@34.843C/34.875C tj@34.843C/34.875C soc012@33.937C/33.937C gpu@34.687C/34.875C soc345@34.375C/34.468C VDD_GPU 3153mW/3299mW/3942mW VDD_CPU_SOC_MSS 7884mW/7155mW/7884mW VIN_SYS_5V0 6048mW/5982mW/6048mW VIN 25580mW/19967mW/27250mW
09-11-2026 15:39:12 RAM 10116/125749MB (lfb 433x4MB) CPU [3%@972,0%@972,0%@1674,0%@1674,0%@972,0%@972,100%@2601,0%@2601,1%@972,0%@972,1%@1296,0%@1296,1%@972,11%@972] cpu@34.937C/34.937C tj@34.937C/34.937C soc012@34C/34C gpu@34.75C/34.875C soc345@34.406C/34.468C VDD_GPU 3153mW/3288mW/3942mW VDD_CPU_SOC_MSS 7884mW/7212mW/7884mW VIN_SYS_5V0 5947mW/5980mW/6048mW VIN 25028mW/20329mW/27250mW
09-11-2026 15:39:13 RAM 10184/125749MB (lfb 433x4MB) CPU [1%@1674,0%@1674,1%@1674,1%@1674,0%@1674,0%@1674,97%@2601,0%@2601,1%@972,0%@972,0%@1674,0%@1674,1%@972,8%@972] cpu@34.843C/34.937C tj@34.843C/34.937C soc012@33.937C/34C gpu@34.75C/34.875C soc345@34.468C/34.468C VDD_GPU 3153mW/3279mW/3942mW VDD_CPU_SOC_MSS 7884mW/7256mW/7884mW VIN_SYS_5V0 6148mW/5991mW/6148mW VIN 25430mW/20647mW/27250mW
09-11-2026 15:39:14 RAM 10187/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@34.781C/34.937C tj@34.781C/34.937C soc012@33.843C/34C gpu@34.781C/34.875C soc345@34.437C/34.468C VDD_GPU 3153mW/3271mW/3942mW VDD_CPU_SOC_MSS 7884mW/7293mW/7884mW VIN_SYS_5V0 5837mW/5982mW/6148mW VIN 24060mW/20837mW/27250mW
09-11-2026 15:39:15 RAM 10195/125749MB (lfb 433x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,7%@972] cpu@34.875C/34.937C tj@34.875C/34.937C soc012@33.781C/34C gpu@34.75C/34.875C soc345@34.406C/34.468C VDD_GPU 3153mW/3265mW/3942mW VDD_CPU_SOC_MSS 7884mW/7324mW/7884mW VIN_SYS_5V0 5846mW/5975mW/6148mW VIN 24194mW/21005mW/27250mW
09-11-2026 15:39:16 RAM 10199/125749MB (lfb 433x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,100%@2601,0%@2601,0%@972,0%@972,0%@972,0%@972,0%@972,8%@972] cpu@34.937C/34.937C tj@34.937C/34.937C soc012@33.937C/34C gpu@34.781C/34.875C soc345@34.531C/34.531C VDD_GPU 3153mW/3260mW/3942mW VDD_CPU_SOC_MSS 7884mW/7351mW/7884mW VIN_SYS_5V0 5846mW/5969mW/6148mW VIN 24442mW/21161mW/27250mW
