09-04-2026 15:48:13 RAM 10041/125749MB (lfb 868x4MB) CPU [0%@1674,0%@1674,0%@972,0%@972,0%@972,0%@972,0%@1512,0%@1512,0%@972,0%@972,1%@972,0%@972,1%@1674,0%@1674] cpu@30.937C/30.937C tj@31.718C/31.718C soc012@31.281C/31.281C soc345@31.656C/31.656C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3549mW/3549mW VIN_SYS_5V0 5024mW/5024mW/5024mW VIN 17166mW/8583mW/17166mW
09-04-2026 15:48:14 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@972,1%@972,0%@972,0%@972,2%@972,0%@972,0%@972,0%@972,8%@972,0%@972,0%@972,0%@972,0%@972,1%@972] cpu@30.593C/30.937C tj@31.656C/31.718C soc012@31.125C/31.281C soc345@31.656C/31.656C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3549mW/3549mW VIN_SYS_5V0 5024mW/5024mW/5024mW VIN 16106mW/10464mW/17166mW
09-04-2026 15:48:15 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@30.562C/30.937C tj@31.687C/31.718C soc012@31.281C/31.281C soc345@31.687C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3549mW/3549mW VIN_SYS_5V0 4923mW/5004mW/5024mW VIN 16086mW/11401mW/17166mW
09-04-2026 15:48:16 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@30.625C/30.937C tj@31.718C/31.718C soc012@31.218C/31.281C soc345@31.687C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3549mW/3549mW VIN_SYS_5V0 4923mW/4992mW/5024mW VIN 15660mW/11933mW/17166mW
09-04-2026 15:48:17 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@30.656C/30.937C tj@31.562C/31.718C soc012@31.156C/31.281C soc345@31.562C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3549mW/3549mW VIN_SYS_5V0 4923mW/4985mW/5024mW VIN 15858mW/12326mW/17166mW
09-04-2026 15:48:18 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@972,2%@972,0%@1296,0%@1296,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@30.781C/30.937C tj@31.656C/31.718C soc012@31.156C/31.281C soc345@31.656C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3944mW/3585mW/3944mW VIN_SYS_5V0 5024mW/4988mW/5024mW VIN 15652mW/12603mW/17166mW
09-04-2026 15:48:19 RAM 10043/125749MB (lfb 868x4MB) CPU [0%@1674,0%@1674,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,2%@972,0%@972,0%@972] cpu@30.718C/30.937C tj@31.718C/31.718C soc012@31.156C/31.281C soc345@31.687C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3582mW/3944mW VIN_SYS_5V0 5024mW/4991mW/5024mW VIN 17166mW/12929mW/17166mW
09-04-2026 15:48:20 RAM 10040/125749MB (lfb 868x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,9%@972,1%@972,1%@972,0%@972,2%@972,1%@972,0%@972,3%@972,0%@972] cpu@30.656C/30.937C tj@31.5C/31.718C soc012@31.156C/31.281C soc345@31.625C/31.687C VDD_GPU 0mW/0mW/0mW VDD_CPU_SOC_MSS 3549mW/3580mW/3944mW VIN_SYS_5V0 5024mW/4993mW/5024mW VIN 15956mW/13118mW/17166mW
09-04-2026 15:48:21 RAM 10095/125749MB (lfb 868x4MB) CPU [7%@972,8%@972,13%@972,10%@972,7%@972,8%@972,8%@972,7%@972,6%@972,66%@972,7%@972,8%@972,7%@1296,6%@1296] cpu@30.937C/30.937C tj@32.75C/32.75C soc012@31.468C/31.468C soc345@32.312C/32.312C VDD_GPU 4730mW/278mW/4730mW VDD_CPU_SOC_MSS 5913mW/3717mW/5913mW VIN_SYS_5V0 6048mW/5055mW/6048mW VIN 26674mW/13871mW/26674mW
09-04-2026 15:48:22 RAM 10265/125749MB (lfb 827x4MB) CPU [3%@972,2%@972,0%@972,1%@972,2%@972,0%@972,0%@972,0%@972,1%@972,44%@972,0%@972,2%@972,0%@972,0%@972] cpu@31.593C/31.593C tj@33.375C/33.375C soc012@31.812C/31.812C soc345@32.875C/32.875C VDD_GPU 9067mW/741mW/9067mW VDD_CPU_SOC_MSS 7490mW/3916mW/7490mW VIN_SYS_5V0 9606mW/5295mW/9606mW VIN 41618mW/15258mW/41618mW
09-04-2026 15:48:23 RAM 11528/125749MB (lfb 536x4MB) CPU [2%@972,3%@972,1%@972,0%@972,0%@972,2%@972,1%@972,0%@972,0%@2601,89%@2601,0%@972,0%@972,1%@972,0%@972] cpu@32.406C/32.406C tj@33.687C/33.687C soc012@33.687C/33.687C soc345@32.343C/32.875C VDD_GPU 5125mW/950mW/9067mW VDD_CPU_SOC_MSS 7490mW/4086mW/7490mW VIN_SYS_5V0 6854mW/5369mW/9606mW VIN 25624mW/15730mW/41618mW
09-04-2026 15:48:24 RAM 10661/125749MB (lfb 730x4MB) CPU [1%@972,1%@972,1%@972,2%@972,0%@972,0%@972,0%@972,0%@972,0%@972,35%@972,1%@972,0%@972,0%@972,0%@972] cpu@32.187C/32.406C tj@34.062C/34.062C soc012@32.187C/33.687C soc345@33.812C/33.812C VDD_GPU 13009mW/1474mW/13009mW VDD_CPU_SOC_MSS 9856mW/4337mW/9856mW VIN_SYS_5V0 13752mW/5733mW/13752mW VIN 53246mW/17293mW/53246mW
09-04-2026 15:48:25 RAM 11322/125749MB (lfb 586x4MB) CPU [2%@972,0%@972,0%@972,2%@972,0%@972,0%@972,0%@972,0%@972,4%@2601,59%@2601,2%@972,1%@972,0%@972,0%@972] cpu@32.75C/32.75C tj@34.125C/34.125C soc012@34.125C/34.125C soc345@32.875C/33.812C VDD_GPU 7096mW/1699mW/13009mW VDD_CPU_SOC_MSS 8279mW/4495mW/9856mW VIN_SYS_5V0 8581mW/5847mW/13752mW VIN 26242mW/17637mW/53246mW
09-04-2026 15:48:26 RAM 12872/125749MB (lfb 199x4MB) CPU [3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@32.75C/32.75C tj@34.062C/34.125C soc012@34.062C/34.125C soc345@32.812C/33.812C VDD_GPU 3942mW/1782mW/13009mW VDD_CPU_SOC_MSS 7490mW/4605mW/9856mW VIN_SYS_5V0 6552mW/5873mW/13752mW VIN 25632mW/17923mW/53246mW
09-04-2026 15:48:27 RAM 14418/125749MB (lfb 4x4MB) CPU [6%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@32.781C/32.781C tj@34.062C/34.125C soc012@34.062C/34.125C soc345@32.625C/33.812C VDD_GPU 2759mW/1816mW/13009mW VDD_CPU_SOC_MSS 7096mW/4691mW/9856mW VIN_SYS_5V0 6350mW/5890mW/13752mW VIN 24048mW/18127mW/53246mW
09-04-2026 15:48:28 RAM 15962/125749MB (lfb 4x4MB) CPU [2%@972,0%@972,0%@972,0%@972,0%@1296,0%@1296,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,2%@972] cpu@32.781C/32.781C tj@34.218C/34.218C soc012@34.093C/34.125C soc345@32.718C/33.812C VDD_GPU 2759mW/1846mW/13009mW VDD_CPU_SOC_MSS 7490mW/4782mW/9856mW VIN_SYS_5V0 6350mW/5905mW/13752mW VIN 24430mW/18324mW/53246mW
09-04-2026 15:48:29 RAM 14066/125749MB (lfb 4x4MB) CPU [2%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@2601,100%@2601,0%@972,0%@972,0%@972,0%@972] cpu@33.218C/33.218C tj@33.812C/34.218C soc012@33.812C/34.125C soc345@32.718C/33.812C VDD_GPU 2759mW/1874mW/13009mW VDD_CPU_SOC_MSS 8279mW/4888mW/9856mW VIN_SYS_5V0 7887mW/5965mW/13752mW VIN 27976mW/18608mW/53246mW
